S:32 E:1 B:32 
hits:409 misses:143 evictions111
hits:409 misses:144 evictions112
hits:409 misses:145 evictions113
hits:409 misses:146 evictions114
hits:409 misses:147 evictions115
hits:410 misses:147 evictions115
hits:411 misses:147 evictions115
hits:411 misses:148 evictions116
hits:411 misses:149 evictions117
hits:411 misses:150 evictions118
hits:411 misses:151 evictions119
hits:412 misses:151 evictions119
hits:412 misses:152 evictions120
hits:412 misses:153 evictions121
hits:412 misses:154 evictions122
hits:413 misses:154 evictions122
hits:413 misses:155 evictions123
hits:414 misses:155 evictions123
hits:415 misses:155 evictions123
hits:415 misses:156 evictions124
hits:415 misses:157 evictions125
hits:416 misses:157 evictions125
hits:416 misses:158 evictions126
hits:417 misses:158 evictions126
hits:417 misses:159 evictions127
hits:418 misses:159 evictions127
hits:419 misses:159 evictions127
hits:419 misses:160 evictions128
hits:419 misses:161 evictions129
hits:420 misses:161 evictions129
hits:420 misses:162 evictions130
hits:421 misses:162 evictions130
hits:421 misses:163 evictions131
hits:422 misses:163 evictions131
hits:423 misses:163 evictions131
hits:423 misses:164 evictions132
hits:423 misses:165 evictions133
hits:424 misses:165 evictions133
hits:424 misses:166 evictions134
hits:425 misses:166 evictions134
hits:425 misses:167 evictions135
hits:426 misses:167 evictions135
hits:426 misses:168 evictions136
hits:427 misses:168 evictions136
hits:427 misses:169 evictions137
hits:428 misses:169 evictions137
hits:428 misses:170 evictions138
hits:429 misses:170 evictions138
hits:429 misses:171 evictions139
hits:430 misses:171 evictions139
hits:430 misses:172 evictions140
hits:430 misses:173 evictions141
hits:430 misses:174 evictions142
hits:430 misses:175 evictions143
hits:430 misses:176 evictions144
hits:431 misses:176 evictions144
hits:431 misses:177 evictions145
hits:432 misses:177 evictions145
hits:432 misses:178 evictions146
hits:432 misses:179 evictions147
hits:433 misses:179 evictions147
hits:434 misses:179 evictions147
hits:434 misses:180 evictions148
hits:435 misses:180 evictions148
hits:435 misses:181 evictions149
hits:436 misses:181 evictions149
hits:436 misses:182 evictions150
hits:436 misses:183 evictions151
hits:436 misses:184 evictions152
hits:437 misses:184 evictions152
hits:437 misses:185 evictions153
hits:438 misses:185 evictions153
hits:439 misses:185 evictions153
hits:440 misses:185 evictions153
hits:441 misses:185 evictions153
hits:441 misses:186 evictions154
hits:441 misses:187 evictions155
hits:442 misses:187 evictions155
hits:442 misses:188 evictions156
hits:443 misses:188 evictions156
hits:443 misses:189 evictions157
hits:444 misses:189 evictions157
hits:444 misses:190 evictions158
hits:444 misses:191 evictions159
hits:444 misses:192 evictions160
hits:445 misses:192 evictions160
hits:445 misses:193 evictions161
hits:446 misses:193 evictions161
hits:446 misses:194 evictions162
hits:447 misses:194 evictions162
hits:447 misses:195 evictions163
hits:447 misses:196 evictions164
hits:447 misses:197 evictions165
hits:447 misses:198 evictions166
hits:447 misses:199 evictions167
hits:448 misses:199 evictions167
hits:448 misses:200 evictions168
hits:449 misses:200 evictions168
hits:449 misses:201 evictions169
hits:449 misses:202 evictions170
hits:449 misses:203 evictions171
hits:450 misses:203 evictions171
hits:450 misses:204 evictions172
hits:451 misses:204 evictions172
hits:452 misses:204 evictions172
hits:453 misses:204 evictions172
